iter	Passed	Remaining
757	1050	335
758	1051	333
759	1051	332
760	1052	330
761	1053	329
762	1054	327
763	1055	325
764	1056	324
765	1057	322
766	1058	321
767	1060	320
768	1061	318
769	1062	317
770	1063	315
771	1064	314
772	1065	312
773	1066	311
774	1067	309
775	1067	308
776	1068	306
777	1069	305
778	1070	303
779	1071	302
780	1073	300
781	1074	299
782	1075	298
783	1076	296
784	1077	294
785	1077	293
786	1078	291
787	1079	290
788	1080	288
789	1080	287
790	1081	285
791	1082	284
792	1083	282
793	1084	281
794	1084	279
795	1085	278
796	1086	276
797	1087	275
798	1088	273
799	1089	272
800	1090	270
801	1091	269
802	1092	267
803	1093	266
804	1094	265
805	1094	263
806	1095	262
807	1096	260
808	1097	259
809	1097	257
810	1098	256
811	1099	254
812	1100	253
813	1101	251
814	1102	250
815	1103	248
816	1104	247
817	1105	245
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1110	238
823	1111	237
824	1111	235
825	1112	234
826	1113	232
827	1114	231
828	1115	230
829	1116	228
830	1117	227
831	1118	225
832	1119	224
833	1120	222
834	1121	221
835	1121	220
836	1122	218
837	1123	217
838	1124	215
839	1125	214
840	1126	212
841	1126	211
842	1127	210
843	1128	208
844	1129	207
845	1130	205
846	1131	204
847	1132	202
848	1134	201
849	1135	200
850	1136	199
851	1137	197
852	1138	196
853	1139	194
854	1140	193
855	1141	192
856	1142	190
857	1142	189
858	1143	187
859	1144	186
860	1145	184
861	1146	183
862	1148	182
863	1149	180
864	1150	179
865	1150	178
866	1151	176
867	1152	175
868	1153	173
869	1154	172
870	1154	171
871	1155	169
872	1156	168
873	1157	166
874	1158	165
875	1159	164
876	1160	162
877	1160	161
878	1162	159
879	1163	158
880	1164	157
881	1165	155
882	1166	154
883	1166	153
884	1167	151
885	1168	150
886	1169	148
887	1169	147
888	1170	146
889	1171	144
890	1172	143
891	1173	142
892	1174	140
893	1174	139
894	1175	137
895	1176	136
896	1177	135
897	1178	133
898	1179	132
899	1180	131
900	1181	129
901	1181	128
902	1182	127
903	1183	125
904	1184	124
905	1185	122
906	1185	121
907	1186	120
908	1187	118
909	1188	117
910	1189	116
911	1190	114
912	1190	113
913	1191	112
914	1192	110
915	1193	109
916	1194	108
917	1195	106
918	1196	105
919	1197	104
920	1197	102
921	1198	101
922	1199	100
923	1200	98
924	1200	97
925	1201	96
926	1202	94
927	1203	93
928	1203	92
929	1204	90
930	1205	89
931	1206	88
932	1207	86
933	1208	85
934	1209	84
935	1210	82
936	1210	81
937	1211	80
938	1212	78
939	1213	77
940	1214	76
941	1214	74
942	1215	73
943	1216	72
944	1217	70
945	1218	69
946	1218	68
947	1219	66
948	1220	65
949	1221	64
950	1222	63
951	1223	61
952	1224	60
953	1225	59
954	1226	57
955	1227	56
956	1227	55
957	1228	53
958	1229	52
959	1230	51
960	1231	49
961	1231	48
962	1232	47
963	1233	46
964	1234	44
965	1235	43
966	1235	42
967	1236	40
968	1237	39
969	1238	38
970	1239	37
971	1240	35
972	1241	34
973	1241	33
974	1242	31
975	1243	30
976	1244	29
977	1244	28
978	1245	26
979	1246	25
980	1247	24
981	1248	22
982	1248	21
983	1249	20
984	1250	19
985	1251	17
986	1252	16
987	1253	15
988	1254	13
989	1255	12
990	1256	11
991	1256	10
992	1257	8
993	1258	7
994	1259	6
995	1260	5
996	1260	3
997	1261	2
998	1262	1
999	1263	0
